Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,0.688000,0.696200,0.687000,0.687800,0.687800,0
2017-01-04,0.693700,0.697900,0.693670,0.693800,0.693800,0
2017-01-05,0.694030,0.695010,0.691300,0.693770,0.693770,0
2017-01-06,0.691900,0.693930,0.690960,0.691700,0.691700,0
2017-01-09,0.694100,0.697300,0.693480,0.694090,0.694090,0
2017-01-10,0.694780,0.697000,0.692900,0.694900,0.694900,0
2017-01-11,0.697400,0.703700,0.696700,0.697400,0.697400,0
2017-01-12,0.702700,0.706000,0.702150,0.702700,0.702700,0
2017-01-13,0.705200,0.706990,0.701500,0.705170,0.705170,0
2017-01-16,0.705870,0.706010,0.703500,0.705390,0.705390,0
2017-01-17,0.704650,0.707650,0.703540,0.704710,0.704710,0
2017-01-18,0.705700,0.708290,0.704600,0.705820,0.705820,0
2017-01-19,0.706410,0.712630,0.705290,0.706300,0.706300,0
2017-01-20,0.709640,0.710300,0.706370,0.709800,0.709800,0
2017-01-23,0.706800,0.706800,0.703040,0.706770,0.706770,0
2017-01-24,0.704790,0.706830,0.703260,0.704650,0.704650,0
2017-01-25,0.707410,0.708070,0.700560,0.707590,0.707590,0
2017-01-26,0.704600,0.706300,0.702810,0.704340,0.704340,0
2017-01-27,0.704850,0.706840,0.702900,0.705060,0.705060,0
2017-01-30,0.704710,0.709300,0.703200,0.704960,0.704960,0
2017-01-31,0.706300,0.707550,0.702200,0.706410,0.706410,0
2017-02-01,0.701400,0.704000,0.699600,0.701500,0.701500,0
2017-02-02,0.704350,0.711530,0.704300,0.704040,0.704040,0
2017-02-03,0.711230,0.714220,0.710200,0.711250,0.711250,0
2017-02-06,0.711780,0.714030,0.710200,0.711800,0.711800,0
2017-02-07,0.711730,0.716850,0.711380,0.711600,0.711600,0
2017-02-08,0.713500,0.717280,0.713300,0.713660,0.713660,0
2017-02-09,0.713840,0.717130,0.712000,0.713700,0.713700,0
2017-02-10,0.715340,0.722190,0.715160,0.715400,0.715400,0
2017-02-13,0.722160,0.722820,0.719800,0.722200,0.722200,0
2017-02-14,0.720990,0.724280,0.720860,0.721020,0.721020,0
2017-02-15,0.724910,0.728410,0.724300,0.724910,0.724910,0
2017-02-16,0.728200,0.728400,0.720600,0.727880,0.727880,0
2017-02-17,0.721390,0.722720,0.719260,0.721200,0.721200,0
2017-02-20,0.721400,0.724210,0.721360,0.721520,0.721520,0
2017-02-21,0.724580,0.728230,0.724060,0.724570,0.724570,0
2017-02-22,0.728110,0.733750,0.727100,0.728120,0.728120,0
2017-02-23,0.729440,0.731720,0.726400,0.729350,0.729350,0
2017-02-24,0.728500,0.729310,0.722800,0.728630,0.728630,0
2017-02-27,0.726610,0.728850,0.723800,0.726700,0.726700,0
2017-02-28,0.725220,0.726220,0.723070,0.725000,0.725000,0
2017-03-01,0.722870,0.727950,0.722780,0.723010,0.723010,0
2017-03-02,0.726900,0.727820,0.720040,0.726820,0.726820,0
2017-03-03,0.720530,0.720530,0.715710,0.720400,0.720400,0
2017-03-06,0.714720,0.717930,0.713490,0.715070,0.715070,0
2017-03-07,0.717400,0.720550,0.717200,0.717200,0.717200,0
2017-03-08,0.718300,0.720080,0.713600,0.718470,0.718470,0
2017-03-09,0.713860,0.714540,0.708580,0.713600,0.713600,0
2017-03-10,0.709410,0.710550,0.706700,0.709520,0.709520,0
2017-03-13,0.705440,0.711000,0.704970,0.705460,0.705460,0
2017-03-14,0.710270,0.711740,0.708500,0.710200,0.710200,0
2017-03-15,0.712890,0.715710,0.711700,0.712820,0.712820,0
2017-03-16,0.717600,0.719180,0.714200,0.717590,0.717590,0
2017-03-17,0.712000,0.717670,0.711700,0.712090,0.712090,0
2017-03-20,0.717180,0.719160,0.716000,0.717200,0.717200,0
2017-03-21,0.719860,0.719920,0.713100,0.719790,0.719790,0
2017-03-22,0.709570,0.710510,0.708170,0.709680,0.709680,0
2017-03-23,0.710510,0.710800,0.707120,0.710430,0.710430,0
