Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,119.269997,119.989998,118.889999,119.540001,115.292572,22307600
2017-01-04,119.669998,120.410004,119.660004,120.190002,115.919464,19749100
2017-01-05,120.099998,120.949997,120.099998,120.870003,116.575310,20644300
2017-01-06,121.000000,122.250000,120.690002,121.930000,117.597633,24074300
2017-01-09,122.029999,122.550003,121.949997,122.330002,117.983444,18909200
2017-01-10,122.379997,122.970001,122.099998,122.599998,118.243851,16176600
2017-01-11,122.650002,122.930000,122.019997,122.930000,118.562111,20686000
2017-01-12,122.489998,122.820000,121.599998,122.739998,118.378845,19622500
2017-01-13,122.800003,123.370003,122.800003,123.160004,118.783951,16930800
2017-01-17,122.839996,123.029999,122.430000,122.790001,118.427078,14538500
2017-01-18,122.970001,123.160004,122.660004,123.040001,118.668190,12499700
2017-01-19,123.220001,123.650002,122.720001,122.980003,118.610329,12710700
2017-01-20,123.519997,123.830002,122.919998,123.250000,118.870743,22091000
2017-01-23,123.169998,123.529999,122.570000,123.349998,118.967194,17434200
2017-01-24,123.589996,124.370003,123.379997,124.180000,119.767715,17640900
2017-01-25,124.959999,125.459999,124.849998,125.430000,120.973289,15036200
2017-01-26,125.599998,125.820000,125.339996,125.559998,121.098663,16052200
2017-01-27,125.830002,125.919998,125.389999,125.800003,121.330162,15053000
2017-01-30,125.379997,125.379997,124.129997,124.820000,120.384956,25006700
2017-01-31,124.379997,124.599998,123.849998,124.570000,120.143837,19091100
2017-02-01,125.449997,125.680000,124.860001,125.430000,120.973289,22861900
2017-02-02,125.209999,125.699997,124.860001,125.320000,120.867203,15101400
2017-02-03,125.449997,125.809998,125.330002,125.680000,121.214394,16957200
2017-02-06,125.470001,125.849998,125.349998,125.830002,121.359077,11630100
2017-02-07,126.089996,126.550003,125.970001,126.290001,121.802734,17541100
2017-02-08,126.120003,126.680000,125.879997,126.500000,122.005272,12569100
2017-02-09,126.629997,127.239998,126.559998,126.959999,122.448906,17542700
2017-02-10,127.239998,127.559998,127.019997,127.379997,122.853996,13915700
2017-02-13,127.769997,128.259995,127.720001,128.100006,123.548424,19120200
2017-02-14,128.149994,128.539993,127.739998,128.529999,123.963127,16333500
2017-02-15,128.440002,129.350006,128.369995,129.289993,124.696121,17891400
2017-02-16,129.369995,129.630005,128.919998,129.250000,124.657555,15098300
2017-02-17,129.059998,129.820007,129.039993,129.809998,125.197662,15563700
2017-02-21,130.059998,130.529999,129.990005,130.449997,125.814888,18479600
2017-02-22,130.330002,130.589996,130.110001,130.500000,125.863152,12110900
2017-02-23,130.699997,130.699997,129.490005,130.009995,125.390533,17489000
2017-02-24,129.419998,130.259995,129.380005,130.259995,125.631668,18624500
2017-02-27,130.020004,130.429993,129.800003,130.419998,125.785988,12008700
2017-02-28,130.389999,130.449997,129.660004,130.020004,125.400200,16598600
2017-03-01,130.850006,131.679993,130.600006,131.440002,126.769737,25813800
2017-03-02,131.410004,131.429993,130.619995,130.779999,126.133179,19951400
2017-03-03,130.690002,131.059998,130.339996,131.020004,126.364662,13722700
2017-03-06,130.589996,130.949997,130.210007,130.729996,126.084961,12026200
2017-03-07,130.470001,131.080002,130.279999,130.509995,125.872757,15500900
2017-03-08,130.589996,131.149994,130.460007,130.740005,126.094612,15776000
2017-03-09,130.710007,131.020004,130.139999,130.839996,126.191063,20855300
2017-03-10,131.440002,131.600006,130.820007,131.389999,126.721497,21922600
2017-03-13,131.339996,131.639999,131.270004,131.610001,126.933693,10731600
2017-03-14,131.309998,131.360001,130.759995,131.289993,126.625046,14019700
2017-03-15,131.559998,132.410004,131.139999,132.100006,127.406303,22709100
2017-03-16,132.350006,132.350006,131.710007,132.009995,127.319481,18457300
2017-03-17,131.899994,132.039993,131.619995,131.690002,127.275017,21234500
2017-03-20,131.649994,132.110001,131.460007,131.809998,127.390968,10105200
2017-03-21,132.309998,132.429993,129.729996,129.809998,125.458061,35841900
2017-03-22,129.850006,130.820007,129.679993,130.690002,126.308571,29177900
2017-03-23,130.520004,130.880005,130.139999,130.360001,125.989616,20311700
2017-03-24,130.779999,131.289993,130.130005,130.630005,126.250572,22967600
2017-03-27,129.699997,131.070007,129.399994,130.839996,126.453568,18472400
2017-03-28,130.839996,132.029999,130.550003,131.639999,127.226685,23721900
2017-03-29,131.729996,132.300003,131.589996,132.250000,127.816223,13710000
2017-03-30,132.199997,132.610001,132.080002,132.470001,128.028870,16092400
2017-03-31,132.279999,132.740005,132.130005,132.380005,127.941895,19841400
2017-04-03,132.490005,132.809998,131.559998,132.300003,127.864571,23700300
2017-04-04,131.919998,132.529999,131.869995,132.509995,128.067551,13400000
2017-04-05,132.699997,133.479996,131.720001,131.970001,127.545624,32011200
2017-04-06,132.100006,132.389999,131.699997,132.039993,127.613289,18832200
2017-04-07,132.000000,132.369995,131.500000,131.970001,127.545624,16743100
2017-04-10,132.100006,132.570007,131.660004,132.020004,127.593971,15619300
2017-04-11,131.899994,132.100006,130.500000,131.449997,127.043060,33778400
2017-04-12,131.429993,131.539993,130.779999,130.919998,126.530853,15955200
2017-04-13,130.740005,131.509995,130.380005,130.399994,126.028290,23683000
2017-04-17,130.770004,131.500000,130.720001,131.479996,127.072075,13325500
2017-04-18,131.039993,131.660004,130.949997,131.279999,126.878784,12841100
2017-04-19,131.850006,132.289993,131.309998,131.490005,127.081757,17764800
2017-04-20,132.020004,132.880005,131.820007,132.589996,128.144867,21977900
2017-04-21,132.710007,132.759995,132.220001,132.559998,128.115845,22454900
2017-04-24,134.029999,134.289993,133.800003,134.160004,129.662216,22469900
2017-04-25,134.600006,135.369995,134.479996,135.130005,130.599686,19384400
2017-04-26,135.179993,135.509995,134.860001,134.940002,130.416092,25398500
2017-04-27,135.270004,135.750000,135.190002,135.750000,131.198929,16136500
2017-04-28,136.289993,136.339996,135.770004,135.990005,131.430832,22771900
2017-05-01,136.440002,137.380005,136.380005,137.199997,132.600327,24815500
2017-05-02,137.369995,137.490005,137.020004,137.429993,132.822601,18345100
2017-05-03,137.119995,137.169998,136.619995,136.990005,132.397369,23827600
2017-05-04,136.970001,137.429993,136.559998,137.039993,132.445633,14630100
2017-05-05,137.389999,137.539993,136.880005,137.539993,132.928894,19330700
2017-05-08,137.610001,137.839996,137.330002,137.839996,133.218811,13279900
2017-05-09,138.050003,138.630005,137.929993,138.320007,133.682785,28426100
2017-05-10,138.399994,138.449997,137.910004,138.399994,133.760040,20499400
2017-05-11,138.020004,138.330002,137.380005,138.289993,133.653748,27232100
2017-05-12,138.350006,138.630005,138.229996,138.600006,133.953354,19738600
2017-05-15,138.660004,139.119995,138.529999,139.039993,134.378616,20481300
2017-05-16,139.399994,139.639999,138.990005,139.619995,134.939178,21786000
2017-05-17,138.509995,138.770004,136.050003,136.070007,131.508194,55642200
2017-05-18,136.020004,137.720001,135.869995,137.259995,132.658279,41319900
2017-05-19,137.750000,138.419998,137.660004,137.839996,133.218811,36730100
2017-05-22,138.149994,139.070007,138.100006,139.000000,134.339981,19509700
2017-05-23,139.410004,139.419998,138.779999,139.139999,134.475235,19687500
2017-05-24,139.559998,139.850006,139.169998,139.779999,135.093796,15891900
2017-05-25,140.309998,141.330002,140.009995,140.970001,136.243912,23928600
2017-05-26,141.000000,141.279999,140.809998,141.220001,136.485550,13851600
2017-05-30,141.149994,141.509995,141.059998,141.339996,136.601517,20306400
2017-05-31,141.839996,141.839996,140.570007,141.289993,136.553177,33229400
2017-06-01,141.580002,141.899994,140.979996,141.839996,137.084732,20120700
2017-06-02,142.339996,143.490005,142.110001,143.460007,138.650436,37222900
2017-06-05,143.449997,143.679993,143.229996,143.429993,138.621490,15727500
2017-06-06,143.259995,143.729996,142.649994,142.860001,138.070541,22393000
2017-06-07,143.259995,143.539993,142.600006,143.419998,138.611786,18842400
2017-06-08,143.740005,143.800003,142.789993,143.570007,138.756775,25417400
2017-06-09,143.740005,143.899994,138.110001,139.979996,135.287125,109783700
2017-06-12,138.800003,139.479996,137.470001,139.229996,134.562241,104454000
2017-06-13,140.009995,140.559998,139.279999,140.360001,135.654373,51193000
2017-06-14,140.929993,140.929993,138.619995,139.750000,135.064819,60093800
2017-06-15,138.339996,139.279999,137.490005,139.130005,134.465637,55145200
2017-06-16,138.679993,138.779999,137.639999,138.149994,133.882202,48087400
2017-06-19,139.490005,140.589996,139.279999,140.460007,136.120850,39626500
2017-06-20,140.320007,140.500000,139.309998,139.360001,135.054794,40935100
2017-06-21,139.679993,140.809998,139.589996,140.740005,136.392212,35743400
2017-06-22,140.960007,141.220001,140.339996,140.699997,136.353409,24099100
2017-06-23,140.539993,141.419998,140.149994,141.240005,136.876724,21654300
2017-06-26,142.050003,142.289993,140.270004,140.580002,136.237122,34411100
2017-06-27,140.050003,140.220001,138.020004,138.029999,133.765869,65957800
2017-06-28,138.539993,140.139999,137.740005,140.020004,135.694427,57427200
2017-06-29,139.440002,139.440002,136.250000,137.589996,133.339523,88769400
2017-06-30,137.979996,138.669998,137.190002,137.639999,133.387970,68898300
2017-07-03,138.270004,138.429993,136.100006,136.190002,131.982773,32797000
2017-07-05,136.619995,137.899994,136.160004,137.529999,133.281372,42116600
2017-07-06,136.479996,137.059998,135.800003,136.289993,132.079620,48430500
2017-07-07,136.750000,138.130005,136.740005,137.759995,133.504242,36970400
2017-07-10,137.850006,138.990005,137.500000,138.660004,134.376450,24853500
2017-07-11,138.460007,139.220001,137.940002,139.050003,134.754410,31517700
2017-07-12,140.240005,140.860001,139.960007,140.699997,136.353409,36045800
2017-07-13,140.869995,141.350006,140.600006,141.009995,136.653854,31073600
2017-07-14,141.639999,142.300003,141.190002,142.119995,137.729568,34544800
2017-07-17,142.270004,142.690002,141.919998,142.190002,137.797394,25343200
2017-07-18,142.089996,143.169998,141.639999,143.139999,138.718048,25748500
2017-07-19,143.559998,144.190002,143.500000,143.979996,139.532074,33752300
2017-07-20,144.350006,144.440002,143.520004,144.169998,139.716232,36139400
2017-07-21,143.639999,144.110001,143.350006,144.110001,139.658081,39697100
2017-07-24,144.089996,144.869995,143.919998,144.770004,140.297714,26712700
2017-07-25,144.289993,144.740005,144.009995,144.399994,139.939102,28120900
2017-07-26,144.759995,144.949997,144.529999,144.869995,140.394608,18610600
2017-07-27,145.820007,145.960007,142.300003,143.960007,139.512711,80665900
2017-07-28,143.100006,144.080002,142.869995,143.839996,139.396408,38013200
2017-07-31,144.250000,144.429993,142.919998,143.229996,138.805267,33848600
2017-08-01,143.720001,143.759995,143.119995,143.559998,139.125061,20149400
2017-08-02,144.490005,144.520004,142.610001,143.949997,139.503036,41769700
2017-08-03,144.089996,144.169998,143.130005,143.389999,138.960327,27112800
2017-08-04,143.710007,143.970001,143.059998,143.649994,139.212296,29472900
2017-08-07,143.910004,144.559998,143.710007,144.559998,140.094147,17933900
2017-08-08,144.279999,145.470001,143.899994,144.309998,139.851913,30810400
2017-08-09,143.119995,144.190002,142.789993,144.119995,139.667755,36169500
2017-08-10,143.300003,143.399994,140.889999,141.029999,136.673218,63331700
2017-08-11,141.220001,142.410004,140.899994,142.100006,137.710190,45862500
2017-08-14,143.229996,144.149994,143.190002,143.929993,139.483612,34161000
2017-08-15,144.289993,144.300003,143.639999,144.029999,139.580551,25509200
2017-08-16,144.389999,144.960007,143.800003,144.279999,139.822815,31913000
2017-08-17,143.720001,143.940002,141.330002,141.330002,136.963974,70191000
2017-08-18,141.410004,142.199997,140.649994,141.229996,136.867065,60751900
2017-08-21,141.220001,141.529999,140.179993,141.050003,136.692627,37111500
2017-08-22,141.809998,143.350006,141.759995,143.199997,138.776199,36294200
2017-08-23,142.479996,143.009995,142.380005,142.690002,138.281952,25702300
2017-08-24,143.009995,143.169998,141.470001,142.270004,137.874924,38160800
2017-08-25,142.820007,143.179993,141.779999,141.970001,137.584183,26380400
2017-08-28,142.399994,142.740005,141.949997,142.410004,138.010620,15362100
2017-08-29,141.190002,143.210007,141.059998,142.970001,138.553284,24498300
2017-08-30,143.089996,144.889999,143.000000,144.649994,140.181381,33642700
2017-08-31,145.059998,146.210007,144.979996,146.199997,141.683487,38480700
2017-09-01,146.389999,146.589996,145.610001,146.000000,141.489685,22293600
2017-09-05,145.570007,145.880005,143.600006,144.690002,140.220169,44794300
2017-09-06,145.059998,145.460007,144.080002,145.130005,140.646561,30722700
2017-09-07,145.399994,145.839996,144.940002,145.470001,140.976074,22721100
2017-09-08,145.279999,145.350006,144.059998,144.210007,139.754990,27890100
2017-09-11,145.339996,146.119995,145.300003,145.869995,141.363678,27126300
2017-09-12,146.279999,146.410004,145.529999,146.220001,141.702911,30256700
2017-09-13,145.970001,146.440002,145.729996,146.419998,141.896713,28450900
2017-09-14,145.850006,146.289993,145.470001,145.559998,141.063293,35296400
